Cintas Corp, , CTAS, Business Services
Bristow Group Inc, , BRS, Air Services
Bristow Group, , BRS, Air Services
Cargojet Inc, , CJT, Air Services
Cross-Harbour holdings, , 0032, Air Services
Flughafen Zuerich AG, , FHZN, Air Services
Helijet International Inc, , HJI, Air Services
Jagson Airlines Ltd, , 520139, Air Services
Macquarie Infrastructure Compa, , MIC, Air Services
Partner Jet Corp, , PJT, Air Services
Perfect HOlding SA, , PRFN, Air Services
Saker Aviation Services, , SKAS, Air Services
Sat, , SAT, Air Services
SATS Ltd, , SATS, Air Services
Save SpA, , SAVE, Air Services
Singapore Airlines Ltd, , C6L, Air Services
Sydney Airport, , SYD, Air Services
Tianjin Binhai Teda, , 8348, Air Services
Air T Inc., , AIRT, Air Delivery & Freight Services
Balurghat Technologies Ltd, , 520127, Air Delivery & Freight Services
CH Robinson Worldwide Inc, , CHRW, Air Delivery & Freight Services
CH Robinson Worldwide Inc., , CHRW, Air Delivery & Freight Services
Changan Minsheng, , 1292, Air Delivery & Freight Services
China Metro-Rural Holdings Lim, , CNR, Air Delivery & Freight Services
China Metro-Rural Holdings Ltd, , CNR, Air Delivery & Freight Services
Clasquin SA, , ALCLA, Air Delivery & Freight Services
Clipper Logistics PLC, , CLG, Air Delivery & Freight Services
Corporate Courier, , BSX, Air Delivery & Freight Services
CTI Logistics Ltd, , CLX, Air Delivery & Freight Services
Echo Global Logistics Inc, , ECHO, Air Delivery & Freight Services
Euronav, , EURN, Air Delivery & Freight Services
Expeditors International, , EXPD, Air Delivery & Freight Services
Expeditors International of Wa, , EXPD, Air Delivery & Freight Services
FedEx Corp, , FDX, Air Delivery & Freight Services
FedEx Corporation, , FDX, Air Delivery & Freight Services
Forefront Group Ltd., , 0885, Air Delivery & Freight Services
Freightways Ltd, , FRE, Air Delivery & Freight Services
Grand Power Logistics, , GPW, Air Delivery & Freight Services
Hengyang Petrochemical, , 5PD, Air Delivery & Freight Services
Hub Group Inc., , HUBG, Air Delivery & Freight Services
Hutchison Port Holdings Trust, , 0013, Air Delivery & Freight Services
Janel World Trade Ltd., , JLWT, Air Delivery & Freight Services
JB Hunt Transport Services Inc, , JBHT, Air Delivery & Freight Services
JSL SA, , JSLG3, Air Delivery & Freight Services
K&S Corp Ltd, , K, Air Delivery & Freight Services
Landstar System Inc, , LSTR, Air Delivery & Freight Services
Mainfreight Ltd, , MFGHF, Air Delivery & Freight Services
MFL India Ltd, , 526622, Air Delivery & Freight Services
Mitsubishi Logistics Corp, , 9301, Air Delivery & Freight Services
ModusLink Global Solutions Inc, , MLNK, Air Delivery & Freight Services
ModusLink Global Solutions, , MLNK, Air Delivery & Freight Services
MYP Ltd, , F86, Air Delivery & Freight Services
N R International Ltd, , 532623, Air Delivery & Freight Services
Natura Hue Chem Ltd, , 531834, Air Delivery & Freight Services
Norbert Dentressangle, , GND, Air Delivery & Freight Services
PACC Offshore Services, , U6C, Air Delivery & Freight Services
Poh Tiong Choon Logistics Ltd, , P01, Air Delivery & Freight Services
Pro-Trans Ventures Inc, , PVI.H, Air Delivery & Freight Services
Qube Holdings Ltd, , QUB, Air Delivery & Freight Services
Radiant Logistics, , RLGT, Air Delivery & Freight Services
Roadrunner Transportation Syst, , RRTS, Air Delivery & Freight Services
Sanco Trans Ltd, , 523116, Air Delivery & Freight Services
Sino-Global Shipping America, , SINO, Air Delivery & Freight Services
UK Mail Group PLC, , UKM, Air Delivery & Freight Services
United Parcel Service, , UPS, Air Delivery & Freight Services
UTi Worldwide Inc, , UTIW, Air Delivery & Freight Services
UTi Worldwide Inc., , UTIW, Air Delivery & Freight Services
Vibrant Group Ltd, , F01, Air Delivery & Freight Services
Wilh Wilhelmsen ASA, , WNL, Air Delivery & Freight Services
Wincanton PLC, , WIN, Air Delivery & Freight Services
XPO Logistics, , XPO, Air Delivery & Freight Services
Yusen Air & Sea Service, , YUAEF, Air Delivery & Freight Services
AMS Public Transport, , 0077, Trucking
ArcBest Corporation, , ARCB, Trucking
Autostrade Meridionali, , AUTME, Trucking
Celadon Group Inc., , CGI, Trucking
Chartered Logistics Ltd, , 531977, Trucking
Covenant Transportation Group, , CVTI, Trucking
Development Capital Group, , MHFI, Trucking
Echo Global Logistics, , ECHO, Trucking
Fukuyama Transporting Co., , 9075, Trucking
Heartland Express, , HTLD, Trucking
Knight Transportation, , KNX, Trucking
Kwoon Chung Bus Holdings Ltd., , 0306, Trucking
Landstar System Inc., , LSTR, Trucking
Marten Transport Ltd., , MRTN, Trucking
Patriot Transportation Holding, , PATR, Trucking
Roadrunner Transportation, , RRTS, Trucking
Saia, , SAI, Trucking
Seino Holdings Co., , 9076, Trucking
Stagecoach Group PLC, , SGC, Trucking
Stobart Group Ltd, , STOB, Trucking
Swift Transportation Company, , GE, Trucking
Tegma Gestao Logistica SA, , TGMA3, Trucking
Trimac Transportation Ltd, , TMA, Trucking
Universal Truckload Services I, , UACL, Trucking
USA Truck Inc., , USAK, Trucking
Werner Enterprises Inc., , WERN, Trucking
YRC Worldwide Inc., , YRCW, Trucking
Baltic Trading Limited, , BALT, Shipping
Baltic Trading Ltd, , BALT, Shipping
Box Ships Inc., , TEU, Shipping
Capital Product Partners L.P., , CPLP, Shipping
China Ocean Shipbuilding, , 0651, Shipping
Chowgule Steamships Ltd, , 501833, Shipping
Chu Kong Shipping, , 0560, Shipping
Chuan Hup Holdings Ltd, , C33, Shipping
CIG Yangtze Ports PLC, , 8233, Shipping
COSCO International, , 0517, Shipping
Cosco Pacific Ltd, , 1199, Shipping
Cosco Pacific Ltd., , 1199, Shipping
Costamare Inc., , CMRE, Shipping
Courage Marine Group Ltd, , E91, Shipping
Daiichi Chuo Kisen Kaisha, , 9132, Shipping
Dampskibsselskabet NORDEN A/S, , DNORD, Shipping
Danaos Corporation, , DAC, Shipping
Deep Sea Supply PLC, , DSSPF, Shipping
DHT Holdings, , DHT, Shipping
Diana Containerships Inc., , DCIX, Shipping
Diana Shipping Inc., , DSX, Shipping
Diana Shipping, , DSX, Shipping
DryShips Inc, , DRYS, Shipping
DryShips, , DRYS, Shipping
Dynagas LNG Partners LP, , DLNG, Shipping
Eagle Bulk Shipping, , EGLE, Shipping
Eitzen Chemical ASA, , EITZF, Shipping
Euroseas, , ESEA, Shipping
Exmar  NV, , EXM, Shipping
FreeSeas Inc., , FREE, Shipping
Frontline Ltd, , FRO, Shipping
Frontline Ltd., , FRO, Shipping
GasLog Ltd., , GLOG, Shipping
GasLog Partners LP, , GLOP, Shipping
Genco Shipping & Trading Ltd., , GNKOQ, Shipping
Global Ship Lease Inc, , GSL, Shipping
Global Ship Lease, , GSL, Shipping
Globus Maritime Limited, , GLBS, Shipping
Golar LNG Ltd, , GLNG, Shipping
Golar LNG Ltd., , GLNG, Shipping
Goldenport Holdings Inc, , GPRT, Shipping
Great Harvest Maeta Group, , 3683, Shipping
Grupo TMM SA, , GTMAY, Shipping
Innolog Holdings Corporation, , INHC, Shipping
Inui Steamship Co., , 9113, Shipping
Irish Continental Group PLC, , ICGC, Shipping
Jaya Holdings Ltd, , J10, Shipping
JES International Holdings Ltd, , EG0, Shipping
Jinhui Holdings Co Ltd, , 0137, Shipping
Knightsbridge Shipping Limited, , VLCCF, Shipping
Knightsbridge Shipping Ltd, , VLCCF, Shipping
KNOT Offshore Partners LP, , KNOP, Shipping
Log-In Logistica Intermodal SA, , LOGN3, Shipping
Lyttelton Port Co Ltd, , LPC, Shipping
Manhattan Resources Ltd, , L02, Shipping
Marco Polo Marine Ltd, , 5LY, Shipping
Mercator Lines (Singapore) Ltd, , EE6, Shipping
Mermaid Marine Australia Ltd, , MRM, Shipping
Navigator Holdings Ltd., , NVGS, Shipping
Navios Maritime Holdings Inc, , NM, Shipping
Navios Maritime Holdings Inc., , NM, Shipping
Navios Maritime Partners L.P., , NMM, Shipping
NewLead Holdings Limited, , NEWL, Shipping
Newlead Holdings Ltd, , NEWL, Shipping
NewLead Holdings Ltd., , NEWL, Shipping
Nordic American Offshore Ltd., , NAO, Shipping
Nordic American Tankers Limite, , NAT, Shipping
Nordic American Tankers Ltd, , NAT, Shipping
Orient Overseas, , 0316, Shipping
Orient Overseas (Internat, , 0316, Shipping
Pacific Basin Shipping Ltd, , 2343, Shipping
Pacific Basin Shipping Ltd., , 2343, Shipping
Pacific Radiance Ltd, , T8V, Shipping
Paragon Shipping Inc, , PRGN, Shipping
Paragon Shipping Inc., , PRGN, Shipping
Penguin International Ltd, , P13, Shipping
Premuda, , PR, Shipping
Rand Logistics, , RLOG, Shipping
Richfield International Ltd, , RIS, Shipping
Safe Bulkers Inc, , SB, Shipping
Safe Bulkers, , SB, Shipping
Samudera Shipping Line Ltd, , S56, Shipping
Scorpio Bulkers Inc., , SALT, Shipping
Seanergy Maritime Holdings Cor, , SHIP, Shipping
Seaspan Corp, , SSW, Shipping
Seaspan Corporation, , SSW, Shipping
Seroja Investments Ltd, , IW5, Shipping
Ship Finance International Lim, , SFL, Shipping
Ship Finance International Ltd, , SFL, Shipping
Shipping Corp of India Ltd, , SCI, Shipping
Sinotrans Shipping Limited, , 0368, Shipping
Sinotrans Shipping Ltd, , 0368, Shipping
SITC International, , 1308, Shipping
Star Bulk Carriers Corp., , SBLK, Shipping
StealthGas Inc, , GASS, Shipping
StealthGas, , GASS, Shipping
Success Universe Group, , 0487, Shipping
Swissco Holdings Ltd, , ADP, Shipping
Teekay Corp, , TK, Shipping
Teekay Corporation, , TK, Shipping
Tianjin Port Development, , 3382, Shipping
Top Ships Inc., , TOPS, Shipping
Touax, , TOUP, Shipping
Tsakos Energy Navigation Limit, , TNP, Shipping
Tsakos Energy Navigation Ltd, , TNP, Shipping
Xiamen International Port, , 3378, Shipping
American Railcar, , ARII, Railroads
American Railcar Industries, , ARII, Railroads
Canadian National Railway Co, , CY2, Railroads
Canadian National Railway Comp, , CNR, Railroads
Central Japan Railway Company, , 9022, Railroads
Central Provinces, , 501827, Railroads
Cobrasma SA, , CBMA3, Railroads
ComfortDelGro Corp Ltd, , C52, Railroads
CSX Corp, , CSX, Railroads
CSX Corp., , CSX, Railroads
East Japan Railway Co, , 9020, Railroads
Faiveley Transport, , LEY, Railroads
Fnm, , FNM, Railroads
FreightCar America Inc, , RAIL, Railroads
FreightCar America Inc., , RAIL, Railroads
Genesee & Wyoming Inc., , GWR, Railroads
Greenbrier Companies Inc, , GBX, Railroads
Inter State Oil Carrier Ltd, , 530259, Railroads
Kansas City Southern, , KSU, Railroads
Kansas City Southern Inc, , KSU, Railroads
Keio Corp, , 9008, Railroads
Las Vegas Railway Express, , XTRN, Railroads
LB Foster Co., , FSTR, Railroads
MTR Corp Ltd, , 0066, Railroads
MTR Corporation Ltd., , MTRJF, Railroads
National Express Group PLC, , NEX, Railroads
Nishi-Nippon Railroad Co., , 9031, Railroads
Norfolk Southern Corp, , NSC, Railroads
Norfolk Southern Corporation, , NSC, Railroads
Odakyu Electric Railway Co Ltd, , 9007, Railroads
Providence and Worcester Railr, , PWX, Railroads
SER Industries Ltd, , 507984, Railroads
SG Fleet Group Ltd, , SGF, Railroads
Stef, , STEF, Railroads
The Alkaline Water Company Inc, , WTER, Railroads
Tobu Railway Co Ltd, , 9001, Railroads
Union Pacific Corp, , UNP, Railroads
Union Pacific Corporation, , UNP, Railroads
West Japan Railway Co, , 9021, Railroads
Westinghouse Air Brake, , WAB, Railroads
Westinghouse Air Brake Technol, , WAB, Railroads
Arista Networks, , ANET, Diversified Computer Systems
Cray Inc., , CRAY, Diversified Computer Systems
Diebold, , DBD, Diversified Computer Systems
Hewlett-Packard Company, , HPQ, Diversified Computer Systems
Invent Ventures, , IDEA, Diversified Computer Systems
Santeon Group, , SANT, Diversified Computer Systems
Silicon Graphics International, , SGI, Diversified Computer Systems
Xplore Technologies Corp., , XPLR, Diversified Computer Systems
Aashee Infotech Ltd, , 519319, Computer Based Systems
CCS Infotech Ltd, , 532405, Computer Based Systems
Cibox Inter@ctive, , CIB, Computer Based Systems
Cray Inc, , CRAY, Computer Based Systems
Daktronics Inc, , DAKT, Computer Based Systems
Daktronics Inc., , DAKT, Computer Based Systems
DataWind Inc, , DW, Computer Based Systems
Diebold Inc, , DBD, Computer Based Systems
Elegance International, , 0907, Computer Based Systems
Eurotech, , CLWT, Computer Based Systems
EVOC Intelligent, , 2308, Computer Based Systems
Glory Mark Hi-Tech holdings, , 8159, Computer Based Systems
Great Wall Technology Co Ltd, , 0074, Computer Based Systems
Guillemot Corp SA, , GUI, Computer Based Systems
Henry Group Holdings Ltd., , J36, Computer Based Systems
Hewlett-Packard Co, , HPQ, Computer Based Systems
iGo, , IGOI, Computer Based Systems
Intermec, , IN, Computer Based Systems
Interphase Corp, , INPH, Computer Based Systems
Japan Digital Laboratory, , 6935, Computer Based Systems
Ju Teng International, , 3336, Computer Based Systems
Ju Teng International Hol, , 3336, Computer Based Systems
King Stone Energy Group Ltd., , 0663, Computer Based Systems
Kollakorn Corporation Ltd, , KKL, Computer Based Systems
Lexmark International Inc, , LXK, Computer Based Systems
Lexmark International Inc., , LXK, Computer Based Systems
Logitech International SA, , LOGI, Computer Based Systems
Olidata, , OLI, Computer Based Systems
Perception Digital, , 1822, Computer Based Systems
Pine Technology Holdings Ltd., , 1079, Computer Based Systems
Positivo Informatica SA, , POSI3, Computer Based Systems
Powerleader Science, , 8236, Computer Based Systems
Powermatic Data Systems Ltd, , P12, Computer Based Systems
QPL Int'lHoldings, , 0243, Computer Based Systems
Radcom Ltd, , RDCM, Computer Based Systems
Radisys Corp, , RSYS, Computer Based Systems
RadiSys Corporation, , RSYS, Computer Based Systems
Ricoh India Ltd, , 517496, Computer Based Systems
Ruckus Wireless, , RKUS, Computer Based Systems
S&T AG, , S, Computer Based Systems
Sandston Corp., , SDON, Computer Based Systems
Schneider Electric, , SU, Computer Based Systems
Seiko Epson Corp, , 6724, Computer Based Systems
Shanxi Changcheng, , 8286, Computer Based Systems
Silicon Graphics Intl, , SGI, Computer Based Systems
Silver Spring Networks, , SSNI, Computer Based Systems
Sky Ridge Resources Limited, , SKYRF, Computer Based Systems
Sun Hing Vision Group, , 0125, Computer Based Systems
Sunny Optical Technology Group, , 2382, Computer Based Systems
Universal Display Corp, , OLED, Computer Based Systems
Verecloud, , VCLD, Computer Based Systems
VXL Instruments Ltd, , 517399, Computer Based Systems
Alanco Technologies Inc., , ALAN, Data Storage Devices
ArtStor AG, , HHS, Data Storage Devices
Broadway Industrial Group Ltd, , B69, Data Storage Devices
Brocade Communications, , BRCD, Data Storage Devices
Brocade Communications Systems, , BRCD, Data Storage Devices
Crossroads Systems, , CRDS, Data Storage Devices
Datalink Corporation, , DTLK, Data Storage Devices
Datapulse Technology Ltd, , D04, Data Storage Devices
Dataram Corp, , DRAM, Data Storage Devices
Dataram Corporation, , DRAM, Data Storage Devices
Dot Hill Systems Corp., , HILL, Data Storage Devices
EMC Corp, , EMC, Data Storage Devices
EMC Corporation, , EMC, Data Storage Devices
IceWEB, , IWEB, Data Storage Devices
Imation Corp, , IMN, Data Storage Devices
Imation Corp., , IMN, Data Storage Devices
NetApp Inc, , NTAP, Data Storage Devices
NetApp, , NTAP, Data Storage Devices
Nextdc Ltd, , NXT, Data Storage Devices
Nimble Storage, , NMBL, Data Storage Devices
Overland Storage Inc, , OVRL, Data Storage Devices
Overland Storage Inc., , OVRL, Data Storage Devices
QLogic Corp, , QLGC, Data Storage Devices
Quantum Corporation, , BSX, Data Storage Devices
SanDisk Corp, , SNDK, Data Storage Devices
SanDisk Corp., , SNDK, Data Storage Devices
Seagate Technology PLC, , STX, Data Storage Devices
Teradata Corp, , TDC, Data Storage Devices
Teradata Corporation, , TDC, Data Storage Devices
Trimol Group Inc., , TMOL, Data Storage Devices
Violin Memory, , VMEM, Data Storage Devices
Western Digital Corporation, , DHR, Data Storage Devices
Aruba Networks, , ARUN, Networking & Communication Devices
AudioEye, , AEYE, Networking & Communication Devices
Black Box Corporation, , BBOX, Networking & Communication Devices
China Techfaith Wireless Commu, , CNTF, Networking & Communication Devices
Cisco Systems, , CSCO, Networking & Communication Devices
Concierge Technologies Inc., , CNCG, Networking & Communication Devices
Digi International Inc., , DGII, Networking & Communication Devices
Echelon Corporation, , ELON, Networking & Communication Devices
Elecsys Corporation, , ESYS, Networking & Communication Devices
Finisar Corp., , FNSR, Networking & Communication Devices
Gigamon Inc., , GIMO, Networking & Communication Devices
Juma Technology Corp., , JUMT, Networking & Communication Devices
Juniper Networks, , JNPR, Networking & Communication Devices
Lantronix, , LTRX, Networking & Communication Devices
Oplink Communications, , OPLK, Networking & Communication Devices
Palo Alto Networks, , PANW, Networking & Communication Devices
PrismOne Group, , PMOZ, Networking & Communication Devices
Silicom Ltd., , SILC, Networking & Communication Devices
Super Micro Computer, , SMCI, Networking & Communication Devices
Sycamore Networks Inc., , SCMR, Networking & Communication Devices
VGTel, , VGTL, Networking & Communication Devices
Astro-Med, , ALOT, Computer Peripherals
BIO-key International, , BKYI, Computer Peripherals
Electronics for Imaging, , EFII, Computer Peripherals
George Risk Industries Inc., , RSKIA, Computer Peripherals
Hauppauge Digital Inc., , HAUP, Computer Peripherals
Identiv, , INVE, Computer Peripherals
Interphase Corp., , INPH, Computer Peripherals
Key Tronic Corp., , KTCC, Computer Peripherals
Qumu Corporation, , QUMU, Computer Peripherals
Radcom Ltd., , RDCM, Computer Peripherals
Socket Mobile, , SCKT, Computer Peripherals
TransAct Technologies Incorpor, , TACT, Computer Peripherals
Universal Display Corp., , OLED, Computer Peripherals
Video Display Corporation, , SNE, Computer Peripherals
Voxeljet AG, , VJET, Computer Peripherals
Activision Blizzard Inc, , ATVI, Multimedia & Graphics Software
Activision Blizzard, , ATVI, Multimedia & Graphics Software
Aristocrat Leisure Ltd, , ALL, Multimedia & Graphics Software
Asiasoft Corp PLC, , AS, Multimedia & Graphics Software
Atari, , ATA, Multimedia & Graphics Software
Avid Technology Inc, , AVID, Multimedia & Graphics Software
Avid Technology, , AVID, Multimedia & Graphics Software
China Electric Power, , CAAS, Multimedia & Graphics Software
Color Chips (India) Ltd., , 532172, Multimedia & Graphics Software
Digital Bros, , TWX, Multimedia & Graphics Software
Electronic Arts Inc, , EA, Multimedia & Graphics Software
Electronic Arts Inc., , EA, Multimedia & Graphics Software
Emme, , EME, Multimedia & Graphics Software
Freeze Tag, , FRZT, Multimedia & Graphics Software
Gameloft SE, , GFT, Multimedia & Graphics Software
GigaMedia Ltd, , GIGM, Multimedia & Graphics Software
GigaMedia Ltd., , GIGM, Multimedia & Graphics Software
Glu Mobile Inc, , GLUU, Multimedia & Graphics Software
Glu Mobile, , GLUU, Multimedia & Graphics Software
GRAVITY Co Ltd, , GRVY, Multimedia & Graphics Software
Gravity Co., , GRVY, Multimedia & Graphics Software
Greenfield Farms Food, , GRAS, Multimedia & Graphics Software
Groupe Concoursmania, , ALGCM, Multimedia & Graphics Software
Image Metrics, , IMGX, Multimedia & Graphics Software
International Game Technology, , IGT, Multimedia & Graphics Software
Iscool Entertainment, , ALISC, Multimedia & Graphics Software
KongZhong Corp, , KZ, Multimedia & Graphics Software
Kongzhong Corp., , KZ, Multimedia & Graphics Software
Majesco Entertainment Co, , COOL, Multimedia & Graphics Software
Majesco Entertainment Co., , COOL, Multimedia & Graphics Software
MGT Capital Investments, , MGT, Multimedia & Graphics Software
NetDragon Websoft Inc, , 0777, Multimedia & Graphics Software
NetDragon Websoft Inc., , 0777, Multimedia & Graphics Software
Perfect World Co Ltd, , PWRD, Multimedia & Graphics Software
Perfect World Co., , PWRD, Multimedia & Graphics Software
Pine Animation Ltd, , 511421, Multimedia & Graphics Software
Pocket Games, , PKGM, Multimedia & Graphics Software
RealNetworks Inc., , RNWK, Multimedia & Graphics Software
Rovi Corporation, , ROVI, Multimedia & Graphics Software
Santaro Interactive Entertainm, , STIE, Multimedia & Graphics Software
Shanda Games Limited, , GAME, Multimedia & Graphics Software
Shanda Games Ltd, , GAME, Multimedia & Graphics Software
Soul and Vibe Interactive Inc., , SOUL, Multimedia & Graphics Software
Square Enix Holdings Co., , 9684, Multimedia & Graphics Software
Take-Two Interactive, , TTWO, Multimedia & Graphics Software
Take-Two Interactive Software, , TTWO, Multimedia & Graphics Software
The9 Limited, , NCTY, Multimedia & Graphics Software
The9 Ltd, , NCTY, Multimedia & Graphics Software
Ubisoft Entertainment, , UBI, Multimedia & Graphics Software
World Wide Touch, , 1282, Multimedia & Graphics Software
Zingmobile Group Ltd, , ZMG, Multimedia & Graphics Software
Zynga Inc, , ZNGA, Multimedia & Graphics Software
Zynga, , ZNGA, Multimedia & Graphics Software
Actua Corporation, , ACTA, Application Software
Adobe Systems Inc., , ADBE, Application Software
Advanced Voice Recognition Sys, , AVOI, Application Software
Advant-E Corp., , ADVC, Application Software
Advent Software, , ADVS, Application Software
Agilysys Inc., , AGYS, Application Software
Allscripts Healthcare Solution, , MDRX, Application Software
AlphaPoint Technology, , APPO, Application Software
Amber Road, , AMBR, Application Software
American Software, , AMSWA, Application Software
Ansys, , ANSS, Application Software
Appiphany Technologies Holding, , APHD, Application Software
ARI Network Services Inc., , ARIS, Application Software
Astea International Inc., , ATEA, Application Software
AutoNavi Holdings Limited, , AMAP, Application Software
AVG Technologies N.V., , AVG, Application Software
Aware, , AWRE, Application Software
Bazaarvoice, , BV, Application Software
Benefitfocus, , BNFT, Application Software
Bitzio, , BTZO, Application Software
BluePhoenix Solutions Ltd., , BPHX, Application Software
Bridgeline Digital, , BLIN, Application Software
Brightcove, , BCOV, Application Software
BroadSoft, , BSFT, Application Software
BSQUARE Corp., , BSQR, Application Software
Cadence Design Systems Inc., , CDNS, Application Software
Cardiff International Inc., , CDIF, Application Software
Castlight Health, , CSLT, Application Software
CDK Global, , CDK, Application Software
ChannelAdvisor Corporation, , ECOM, Application Software
Cheetah Mobile Inc., , CMCM, Application Software
China Digital TV Holding Co., , STV, Application Software
ChyronHego Corp., , CHYR, Application Software
CommVault Systems, , CVLT, Application Software
Compuware Corporation, , CPWR, Application Software
CoreComm Solutions Inc., , COCMF, Application Software
Cornerstone OnDemand, , CSOD, Application Software
Covisint Corporation, , COVS, Application Software
Cvent, , CVT, Application Software
Daegis Inc., , DAEG, Application Software
Demandware, , DWRE, Application Software
Dolphin Digital Media, , DPDM, Application Software
Dot VN, , DTVI, Application Software
DTS Inc., , DTSI, Application Software
DynaVox Inc., , DVOXQ, Application Software
e-Future Information Technolog, , EFUT, Application Software
E2open, , EOPN, Application Software
Ellie Mae, , ELLI, Application Software
Enxnet Inc., , EXNT, Application Software
Epazz Inc., , EPAZD, Application Software
ePlus inc., , PLUS, Application Software
Falconstor Software Inc., , FALC, Application Software
Findex.com Inc., , FIND, Application Software
FireEye, , FEYE, Application Software
Five9, , FIVN, Application Software
Fleetmatics Group PLC, , FLTX, Application Software
Fortinet Inc., , FTNT, Application Software
GlassesOff Inc., , GLSO, Application Software
GlobalSCAPE, , GSB, Application Software
Gray Fox Petroleum Corp., , GFOX, Application Software
Guidance Software, , GUID, Application Software
iMedicor, , VMCI, Application Software
Immersion Corporation, , IMMR, Application Software
Imperva Inc., , IMPV, Application Software
inContact, , SAAS, Application Software
Inova Technology, , INVA, Application Software
Intellicheck Mobilisa, , IDN, Application Software
Intellinetics, , INLX, Application Software
Intuit Inc., , INTU, Application Software
Jingwei International Limited, , JNGW, Application Software
Jive Software, , JIVE, Application Software
LifeLock, , LOCK, Application Software
Liquid Holdings Group, , LIQD, Application Software
LogMeIn, , LOGM, Application Software
Luxoft Holding, , LXFT, Application Software
Lyris, , LYRI, Application Software
Magic Software Enterprises Ltd, , MGIC, Application Software
Manhattan Associates, , MANH, Application Software
Marketo, , MKTO, Application Software
Materialise NV, , MTLS, Application Software
Media Analytics Corporation, , IBM, Application Software
MEDL Mobile Holdings, , MEDL, Application Software
MobileIron, , MOBL, Application Software
Mobileye N.V., , MBLY, Application Software
Monotype Imaging Holdings Inc., , TYPE, Application Software
MSCI Inc., , MSCI, Application Software
NetSol Technologies, , NTWK, Application Software
NIC Inc., , EGOV, Application Software
NQ Mobile Inc., , NQ, Application Software
Nuance Communications, , NUAN, Application Software
One Horizon Group, , OHGI, Application Software
OPOWER, , OPWR, Application Software
Oracle Corporation, , ORCL, Application Software
Pacific WebWorks, , PWEB, Application Software
PAR Technology Corporation, , PAR, Application Software
Paycom Software, , PAYC, Application Software
Premier Alliance Group Inc., , PIMO, Application Software
Progress Software Corporation, , PRGS, Application Software
Proofpoint, , PFPT, Application Software
QAD Inc., , QADB, Application Software
Qualys, , QLYS, Application Software
Rackwise, , RACK, Application Software
Rally Software Development Cor, , RALY, Application Software
RealPage, , RP, Application Software
Red Hat, , RHT, Application Software
RingCentral, , RNG, Application Software
Rosetta Stone, , RST, Application Software
Salesforce.com, , CRM, Application Software
SciQuest, , SQI, Application Software
SilverSun Technologies, , SSNT, Application Software
Smith Micro Software Inc., , SMSI, Application Software
SolarWinds, , SWI, Application Software
Soleil Capital LP, , JOBI, Application Software
Solera Holdings Inc., , SLH, Application Software
Sonic Foundry, , SOFO, Application Software
Splunk, , SPLK, Application Software
SPS Commerce, , SPSC, Application Software
Stamps.com Inc., , STMP, Application Software
Subjex Corp., , SBJX, Application Software
Sungy Mobile Limited, , GOMO, Application Software
Surna Inc., , SRNA, Application Software
Synaptics Inc., , SYNA, Application Software
Synchronoss Technologies, , SNCR, Application Software
Textura Corporation, , TXTR, Application Software
The KEYW Holding Corporation, , KEYW, Application Software
Thinspace Technology, , THNS, Application Software
TigerLogic Corporation, , TIGR, Application Software
TubeMogul, , TUBE, Application Software
Unwired Planet, , UPIP, Application Software
Verify Smart Corp., , VSMR, Application Software
Vertical Computer Systems Inc., , GE, Application Software
Virtual Piggy, , VPIG, Application Software
Warp 9, , WNYN, Application Software
Workday, , WDAY, Application Software
XcelMobility Inc., , XCLL, Application Software
XFormity Technologies, , XFMY, Application Software
XRS Corporation, , XRSC, Application Software
Xunlei Limited, , XNET, Application Software
Yodlee, , YDLE, Application Software
Zendesk, , ZEN, Application Software
Zix Corporation, , ZIXI, Application Software
2U, , TWOU, Application Software
800 Commerce, , ETHG, Application Software
ABM Knowledgeware Ltd, , 531161, Technical & System Software
Absolute Software Corp, , ABT, Technical & System Software
Ace Software Exports Ltd, , 531525, Technical & System Software
ACI Worldwide, , ACIW, Technical & System Software
Actuate Corp, , BIRT, Technical & System Software
Adacel Technologies Ltd, , ADA, Technical & System Software
Adobe Systems Inc, , ADBE, Technical & System Software
Advent Software Inc, , ADVS, Technical & System Software
Agilysys Inc, , AGYS, Technical & System Software
AGTech Holdings Ltd, , 8279, Technical & System Software
AGTech Holdings Ltd., , 8279, Technical & System Software
Airiq Inc, , IQ, Technical & System Software
Akamai Technologies Inc, , AKAM, Technical & System Software
Allscripts Healthcare, , MDRX, Technical & System Software
American Software Inc, , AMSWA, Technical & System Software
Anite PLC, , AIE, Technical & System Software
Ansys Inc, , ANSS, Technical & System Software
Astellia SA, , ALAST, Technical & System Software
Attunity, , ATTU, Technical & System Software
Autodesk Inc, , ADSK, Technical & System Software
Autodesk, , ADSK, Technical & System Software
Avance Technologies Ltd, , 512149, Technical & System Software
Avanquest Software, , AVQ, Technical & System Software
Aware Inc, , AWRE, Technical & System Software
Axon Finance Ltd, , 505506, Technical & System Software
Axway Software, , AXW, Technical & System Software
B2B Software Technologies Ltd, , 531268, Technical & System Software
Basware Oyj, , BAS1V, Technical & System Software
Bematech SA, , BEMA3, Technical & System Software
BLS Infotech Ltd, , 531175, Technical & System Software
Bottomline Technologies Inc, , EPAY, Technical & System Software
Bridgeline Digital Inc, , BLIN, Technical & System Software
BroadSoft Inc, , BSFT, Technical & System Software
BroadVision Inc, , BVSN, Technical & System Software
Cad It, , CAD, Technical & System Software
